┃4K超高清,#genre#
CCTV2,http://182.114.49.75:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$ipv4•线路36(498ms)
CCTV2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8$ipv4•线路37(499ms)
CCTV2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8$ipv4•线路38(499ms)
CCTV2,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8$ipv4•线路39(500ms)
CCTV2,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8$ipv4•线路40(500ms)
CCTV2,http://60.16.0.216:5757/hls/2/index.m3u8$ipv4•线路41(514ms)
CCTV2,http://60.16.0.216:5757/hls/2/index.m3u8$ipv4•线路42(514ms)
CCTV2,http://www.kaniptv.cn/mk.php?ip=sdxztest1.abcnic.com:&id=live1009$ipv4•线路43(519ms)
CCTV2,http://www.kaniptv.cn/mk.php?ip=sdxztest1.abcnic.com:&id=live1009$ipv4•线路44(519ms)
CCTV2,https://piccpndali.v.myalicdn.com/audio/cctv2_2.m3u8$ipv4•线路45(524ms)
CCTV2,https://piccpndali.v.myalicdn.com/audio/cctv2_2.m3u8$ipv4•线路46(524ms)
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8$ipv4•线路47(558ms)
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8$ipv4•线路48(558ms)
CCTV2,http://43.251.226.89:8080/play/972.m3u8$ipv4•线路49(558ms)
CCTV2,http://43.251.226.89:8080/play/972.m3u8$ipv4•线路50(558ms)
CCTV2,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8$ipv4•线路51(567ms)
CCTV2,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8$ipv4•线路52(567ms)
CCTV3,http://23.237.228.134/live5/CCTV3.m3u8$ipv4•线路1(41ms)
CCTV3,http://23.237.228.134/live5/CCTV3.m3u8$ipv4•线路2(41ms)
CCTV3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009$ipv4•线路3(129ms)
CCTV3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009$ipv4•线路4(129ms)
CCTV3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub$ipv4•线路5(137ms)
CCTV3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub$ipv4•线路6(137ms)
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8$ipv4•线路7(272ms)
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8$ipv4•线路8(272ms)
CCTV3,http://43.251.226.89:8080/play/973.m3u8$ipv4•线路9(296ms)
CCTV3,http://43.251.226.89:8080/play/973.m3u8$ipv4•线路10(296ms)
